nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
ELIS ENDANG NIKMAWATI,Pendidikan Tata Boga (S1),5994650,2,5,79,534,0,0
FAHMI JAHIDAH ISLAMY,Pendidikan Manajemen Perkantoran (S1),6647689,1,5,78,119,0,0
ANY ARYANI,Biologi (S1),6038233,2,5,44,103,0,0
RICHE CYNTHIA JOHAN,Perpustakaan dan Sains Informasi (S1),5977502,0,7,44,282,0,0
ENRY JOHAN JAOHARI,Unknown,6745762,0,26,44,318,0,0
HENY DJOEHAENI,Pendidikan Anak Usia Dini (S2),6001543,0,4,43,110,0,0
RAFIKA ROSYDA,Profesi Ners Kampus Sumedang (Profesi),6727416,0,0,43,46,0,0
M RIDWAN SUTISNA,PGSD Kampus Cibiru (S1),6143237,0,3,43,55,0,0
FAKRY GAFFAR,Unknown,6145775,0,10,43,172,0,0
RUDI ADI NUGROHO,Pendidikan Bahasa Indonesia (S2),6662754,0,2,43,80,0,0
OCE RIDWANUDIN,Pendidikan Pariwisata (S1),6681229,1,0,43,107,0,0
BURHAN HAMBALI,Unknown,6681587,1,4,43,69,0,0
RESA RESPATI,PGSD Kampus Tasikmalaya (S1),5994434,0,4,45,119,0,0
RINI INTANSARI MEILANI,Pendidikan Manajemen Perkantoran (S1),5994001,1,9,45,185,0,0
HILDA MONOARFA,Manajemen (S2),6150134,0,2,45,127,0,0
YUSI RIKSA YUSTIANA,Unknown,5996530,1,3,45,73,0,0
ABUBAKAR,Administrasi Pendidikan (S2),6664496,0,3,45,110,0,0
AHMAD JAFAR SHIDIQ,Unknown,6746559,0,8,45,191,0,0
DADANG DAHLAN,Pendidikan Ekonomi (S3),5993404,1,3,44,178,0,0
HARUN IMANSYAH,Pendidikan Fisika (S1),6186539,3,8,44,265,0,0
AGUS MULYANA,Pendidikan Sejarah (S3),5992575,1,6,44,205,0,0
SEHABUDIN SALASA,Keperawatan (D3),6143765,0,2,44,55,0,0
INTAN PERMATA SARI,Pendidikan Multimedia Kampus Cibiru (S1),6130817,0,4,39,40,0,0
ARDIANSAH,Perpustakaan dan Sains Informasi (S1),6754065,0,0,39,66,0,0
ERNIE DIYAHKUSUMANING AYU IMPERIANI,Bahasa dan Sastra Inggris (S1),5978093,1,5,39,129,0,0
AMIN BUDIAMIN,Bimbingan Dan Konseling (S1),5995112,1,8,39,128,0,0
DIDING NURDIN,Administrasi Pendidikan (S2),5995269,0,8,39,218,0,0
TRIANA LESTARI,Unknown,6006681,0,5,39,49,0,0
BAMBANG WIDJAJANTA,Manajemen (S3),5984870,2,7,38,178,0,0
AGUS MAHENDRA,PGSD Pendidikan Jasmani (S1),5979586,1,15,38,237,0,0
BADRUZAMAN,Unknown,5994459,1,5,38,164,0,0
ANDHIN DYAS FITRIANI,Pendidikan Guru Sekolah Dasar (S1),5989139,0,6,38,166,0,0
DELITA SEPTIA ROSDIANA,Gizi (S1),6726328,0,0,43,64,0,0
ANWAR SANUSI,Unknown,6740373,0,4,42,61,0,0
NURDIN,Administrasi Pendidikan (S1),5995286,0,1,42,152,0,0
JAJAT DARAJAT KUSUMAH N,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",5994923,1,4,42,145,0,0
HENI MULYANI,Pendidikan Akuntansi (S1),257835,1,5,42,129,0,0
RUDIYANTO,Pendidikan Anak Usia Dini (S2),6039467,0,4,42,140,0,0
IMAS DIANA APRILIA,Pendidikan Khusus (S3),6000366,0,5,41,99,0,0
CUCU SURAHMAN,Ilmu Pendidikan Agama Islam (S1),5993732,0,4,41,134,0,0
ASEP HADIAN SASMITA,Teknik Mesin (D3),5993940,1,2,41,207,0,0
NOVI YANTHI,PGSD Kampus Cibiru (S1),6004309,0,2,41,99,0,0
AYUNG CANDRA PADMASARI,Pendidikan Multimedia Kampus Cibiru (S1),6130964,0,2,48,56,0,0
ISTI SITI SALEHA,Pendidikan Bahasa Inggris (S2),5979123,2,7,48,262,0,0
EKA SURACHMAN,Manajemen (S1),5979141,1,1,48,48,0,0
NITIH INDRA KOMALA DEWI,Arsitektur (S1),6125855,1,2,48,92,0,0
MUHAMMAD ADLI RIZQULLOH,Unknown,6745864,1,3,48,62,0,0
JAJAT S ARDIWINATA,Pendidikan Masyarakat (S3),5994332,1,5,47,222,0,0
ASEP NURYADIN,Bisnis Digital (S1),6745757,0,1,47,50,0,0
RIAN ANDRIAN,Unknown,6681695,3,4,47,160,0,0
NEINY RATMANINGSIH,Pendidikan Ilmu Pengetahuan Sosial (S2),5994421,2,3,46,90,0,0
DIKY ZAKARIA,Mekatronika dan Kecerdasan Buatan Kampus Purwakart (S1),6779007,2,4,46,159,0,0
GILANG PRATAMA PUTRA,Industri Pariwisata (S1),6786959,0,2,46,46,0,0
ANNISA JOVIANI ASTARI,Sains Informasi Geografi (S1),6755030,2,3,46,58,0,0
CECEP DARMAWAN,Unknown,5989822,0,10,46,300,0,0
PRIHANTINI,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),6070701,0,3,46,68,0,0
POPI SOPIAH,Profesi Ners Kampus Sumedang (Profesi),6126299,1,2,46,147,0,0
NURUL FAHMI ARIEF HAKIM,Pendidikan Teknik Otomasi Industri dan Robotika (S1),6725597,2,2,46,116,0,0
ERIK HARITMAN,Pendidikan Teknik Otomasi Industri dan Robotika (S1),6003383,2,7,45,238,0,0
NANI M SUGANDHI,Bimbingan Dan Konseling (S2),5994979,1,5,45,193,0,0
MUHAMAD IQBAL,Pendidikan IPS (S1),5978331,0,1,45,177,0,0
BUDI SANTOSO,Pendidikan Ekonomi (S3),5993631,1,5,45,200,0,0
RANA GUSTIAN NUGRAHA,PGSD Kampus Sumedang (S1),6095021,0,1,40,57,0,0
NANANG FATTAH,Unknown,5979056,1,18,40,221,0,0
DENI WARDANA,PGSD Kampus Serang (S1),6662598,0,0,40,46,0,0
IMAM TRI SUTRISNO,Keperawatan (D3),6711574,0,1,40,43,0,0
NIKE KAMARUBIANI,Pendidikan Masyarakat (S1),5995140,0,2,40,90,0,0
RESHANDI NUGRAHA,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",6725014,0,1,40,42,0,0
RISWANDA SETIADI,Pendidikan Bahasa Perancis (S2),5990173,2,5,39,202,0,0
SYAMSUL HADI SENEN,Manajemen (S3),5984992,0,10,39,171,0,0
DEWI NUR AZIZAH,Pendidikan Teknologi Agroindustri (S1),5994054,1,2,39,46,0,0
WACHYU SUNDAYANA,Pendidikan Bahasa Inggris (S2),6109607,2,7,39,303,0,0
NENDEN INEU HERAWATI,PGPAUD Kampus Cibiru (S1),6006181,0,5,35,247,0,0
PUPUN NURYANI,Unknown,6000860,0,5,35,137,0,0
CUCU SUKMANA,Unknown,6654466,1,2,34,45,0,0
BABANG ROBANDI,Pedagogik (S2),5995489,0,5,34,148,0,0
DADAN NUGRAHA,PGSD Kampus Sumedang (S1),6068607,0,5,34,91,0,0
AHDIYATUL FAUZA,Unknown,6745727,1,2,34,36,0,0
DWI LESTARI RAHAYU,Pendidikan Teknologi Agroindustri (S1),5994045,1,3,34,69,0,0
SURYADI,Administrasi Pendidikan (S1),5978515,0,0,34,139,0,0
ARIM NASIM,Magister Ilmu Akuntansi (S2),6009264,0,4,34,139,0,0
TATANG PERMANA,Teknik Mesin (D3),6120239,0,7,34,248,0,0
DADANG YUNUS LUTFIANSYACH,Pendidikan Masyarakat (S1),6654442,1,4,50,100,0,0
SUCI SUNDUSIAH,Unknown,6679899,1,5,50,101,0,0
IPAH SARIPAH,Bimbingan Dan Konseling (S2),5995090,1,6,50,177,0,0
DIKDIK ZAFAR SIDIK,Kepelatihan Fisik Olahraga (S1),5989589,0,11,50,224,0,0
RINANDA RIZKY AMALIA SHALEHA,Psikologi (S1),6745841,1,2,49,64,0,0
NUR AEDI,Administrasi Pendidikan (S3),6001913,0,8,49,381,0,0
GHOITSA ROHMAH NURAZIZAH,Unknown,5989817,1,4,49,181,0,0
BACHTIAR HASAN,Teknik Elektro (S1),5991821,2,5,49,305,0,0
MOHAMAD HELMI ISMAIL,PGPAUD Kampus Cibiru (S1),6006814,0,3,49,123,0,0
MARDIANI,Teknik Sipil (S1),5979146,1,2,48,74,0,0
ABAS ASYAFAH,Pendidikan Umum dan Karakter (S3),5993706,1,8,38,162,0,0
AHMAD SYAMSU RIZAL,Pendidikan Umum dan Karakter (S3),5994635,0,10,38,207,0,0
NENENG SRI WULAN,PGSD Kampus Purwakarta (S1),5994982,0,4,38,74,0,0
DR. NINA SUTRESNA,Unknown,6681798,5,6,37,232,0,0
AAN HASANAH,Pendidikan Matematika (S1),6000349,0,4,37,82,0,0
TIRTA ADIKUSUMA SUPARTO,Keperawatan (D3),6140627,1,4,37,141,0,0
AGUS DANAWAN,Pendidikan Fisika (S1),6123641,0,6,37,91,0,0
HERI RIDWAN,Keperawatan Kampus Sumedang (S1),6139697,0,2,36,48,0,0
LIPTIA VENICA,Mekatronika dan Kecerdasan Buatan Kampus Purwakart (S1),6779029,3,3,36,107,0,0
HARIS SANTOSA NUGRAHA,Pendidikan Bahasa Sunda (S1),5980272,0,2,36,104,0,0
MOHAMMAD ZAKY,Ilmu Keolahragaan (S1),6681872,2,1,30,2.224,0,0
ELAN ELAN,PGPAUD Kampus Tasikmalaya (S1),6736627,1,6,30,104,0,0
LULU LAELA AMALIA,Pendidikan Bahasa Inggris (S2),5988724,1,4,30,54,0,0
SUMIYADI,Pendidikan Bahasa Indonesia (S3),5994381,0,3,29,147,0,0
ELIS MEDIAWATI,Akuntansi (S1),6009471,0,6,29,155,0,0
USUP ROMLI,Unknown,6145733,0,4,29,36,0,0
ASYIFA IMANDA SEPTIANA,Rekayasa Perangkat Lunak (S1),6681802,2,3,28,50,0,0
IRA RENGGANIS,Pendidikan Guru Sekolah Dasar (S1),6000936,0,3,28,91,0,0
DEDE MARGO IRIANTO,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),6123185,0,4,28,90,0,0
BUDI SETIAWAN,Teknologi Pendidikan (S1),6754095,1,2,28,58,0,0
VELAYETI NURFITRIANA ANSAS,Pendidikan Bahasa Korea (S1),6100520,0,1,31,34,0,0
DIDIN SAMSUDIN,Pendidikan Bahasa Korea (S1),6102061,0,1,31,34,0,0
DYAH PURWANINGSIH,Unknown,6714124,2,1,31,55,0,0
ARIE RAKHMAT RIYADI,Pendidikan Guru Sekolah Dasar (S1),259151,0,6,30,128,0,0
NAHROWI ADJIE,PGPAUD Kampus Purwakarta (S1),5995587,0,7,30,129,0,0
KOKOM ST KOMARIAH,Pendidikan Umum dan Karakter (S2),6135827,0,0,30,232,0,0
KOKOM SITI KOMARIAH,Unknown,6145229,0,0,30,226,0,0
"IIK NURULPAIK, S.PD., M.PD",Administrasi Pendidikan (S1),5995495,1,3,30,134,0,0
MARLINA,Pendidikan Tata Busana (S1),6003759,0,0,30,50,0,0
ERNALIS,PGSD Kampus Cibiru (S1),6123293,0,1,30,107,0,0
DEDE TATANG SUNARYA,PGSD Kampus Sumedang (S1),6745784,1,8,27,134,0,0
ANI HENDRIANI,Pendidikan Guru Sekolah Dasar (S1),5994782,0,4,27,104,0,0
HERLINA,Psikologi (S1),5995734,0,2,27,88,0,0
KUSWANTO,PGPAUD Kampus Cibiru (S1),6728771,0,3,27,33,0,0
HANA SUSANTI,Unknown,6653579,2,3,27,64,0,0
SULTHAN HADIST ISMAIEDH CUKARSO,Unknown,6735954,1,2,27,27,0,0
IMA NIMAH CHUDARI,PGSD Kampus Serang (S1),6043715,1,3,27,41,0,0
DEDDY SURYANA,Pendidikan Bahasa Inggris (S1),6150914,0,2,27,32,0,0
PRIMANITA SHOLIHAH ROSMANA,Unknown,6745893,0,1,27,32,0,0
ASEP SAEFUDIN,Pendidikan Guru Sekolah Dasar (S1),5977546,0,2,26,32,0,0
USEP KUSWARI,Pendidikan Bahasa dan Budaya Sunda (S2),5987461,0,4,36,236,0,0
